Iteration	Posterior	Likelihood	Prior	sigma2
4140	-64.35671	-68.84836	4.491646	0.003734063
4150	-65.49009	-69.85389	4.363803	0.004243293
4160	-64.37288	-68.92398	4.551097	0.003518539
4170	-64.33918	-68.8778	4.538613	0.003562741
4180	-65.16816	-69.81304	4.644881	0.003203558
4190	-64.38565	-68.94035	4.554698	0.003505893
4200	-64.62899	-69.22463	4.595638	0.003365261
4210	-64.32084	-68.84557	4.524733	0.003612536
4220	-64.90427	-69.31434	4.410074	0.004051427
4230	-64.39009	-68.94595	4.555864	0.003501806
4240	-65.29803	-69.67544	4.377401	0.004185983
4250	-64.33104	-68.86516	4.534113	0.003578807
4260	-65.98984	-70.32256	4.332712	0.004377296
4270	-64.4913	-69.06759	4.576285	0.003431021
4280	-65.51257	-70.18025	4.667687	0.003131323
4290	-64.45629	-68.92297	4.466674	0.003828485
4300	-64.35741	-68.90351	4.546096	0.003536179
4310	-64.89155	-69.30284	4.411284	0.004046528
4320	-64.66907	-69.10414	4.435076	0.003951389
4330	-66.18761	-70.89154	4.703924	0.003019885
4340	-64.34644	-68.88832	4.541887	0.003551094
4350	-64.40767	-68.88467	4.477001	0.003789152
4360	-64.72666	-69.3334	4.606742	0.0033281
4370	-65.39031	-70.05035	4.660043	0.003155351
4380	-65.55403	-69.91355	4.359515	0.004261529
4390	-65.12198	-69.51302	4.391036	0.004129296
4400	-67.78246	-72.0296	4.247142	0.004768352
4410	-64.31957	-68.84156	4.521993	0.003622448
4420	-65.12294	-69.76449	4.641549	0.00321425
4430	-64.43553	-69.00169	4.566163	0.003465928
4440	-64.36537	-68.85403	4.488661	0.003745227
4450	-64.35301	-68.8975	4.544491	0.003541859
4460	-64.33036	-68.83435	4.503994	0.00368824
4470	-66.76752	-71.05955	4.292034	0.004559028
4480	-64.3284	-68.86073	4.532328	0.003585201
4490	-64.59723	-69.04152	4.444281	0.003915184
4500	-64.40046	-68.95891	4.558456	0.003492743
4510	-64.32302	-68.8331	4.510075	0.003665878
4520	-65.5967	-69.95341	4.356712	0.00427349
4530	-64.51282	-68.96957	4.456747	0.00386668
4540	-65.71257	-70.06188	4.349315	0.004305218
4550	-65.23116	-69.88053	4.649372	0.003189202
4560	-64.75095	-69.36024	4.609284	0.003319649
4570	-64.37198	-68.92281	4.550828	0.003519488
4580	-65.35885	-70.01685	4.658003	0.003161795
4590	-64.32751	-68.85919	4.531675	0.003587543
4600	-64.85383	-69.26878	4.414951	0.004031716
4610	-64.46299	-68.92839	4.465405	0.003833345
4620	-64.65906	-69.09536	4.436299	0.00394656
4630	-64.34523	-68.84142	4.496191	0.003717129
4640	-65.74922	-70.09626	4.347037	0.004315039
4650	-64.48887	-69.06475	4.575882	0.003432404
4660	-64.37872	-68.93151	4.552791	0.003512583
4670	-64.48588	-68.94715	4.461269	0.003849232
4680	-64.48698	-68.94806	4.461078	0.003849968
4690	-64.32846	-68.86083	4.532373	0.003585042
4700	-64.50748	-68.9651	4.457617	0.003863315
4710	-64.3346	-68.87082	4.536223	0.003571266
4720	-64.32066	-68.84509	4.524429	0.003613636
4730	-64.94805	-69.35405	4.406003	0.004067954
4740	-64.38728	-68.86945	4.482163	0.003769641
4750	-64.80108	-69.41539	4.614306	0.00330302
4760	-64.50547	-68.96342	4.457948	0.003862038
4770	-64.75339	-69.17876	4.425378	0.003989897
4780	-64.46896	-69.04143	4.572466	0.00344415
4790	-65.00938	-69.4099	4.400522	0.004090312
4800	-68.12263	-72.35612	4.233491	0.004833891
4810	-64.40126	-68.87981	4.478555	0.003783268
4820	-64.32261	-68.84977	4.527162	0.003603771
4830	-64.32183	-68.83335	4.511529	0.003660553
4840	-64.62416	-69.06486	4.440709	0.003929193
4850	-64.52411	-68.97906	4.454943	0.003873662
4860	-64.5424	-68.99452	4.452122	0.003884603
4870	-64.41155	-68.9726	4.56105	0.003483693
4880	-64.36267	-68.91056	4.547894	0.003529829
4890	-64.47895	-68.94144	4.462491	0.003844532
4900	-64.3239	-68.83305	4.509144	0.003669292
4910	-64.78195	-69.20425	4.422304	0.00400218
4920	-64.50819	-68.96569	4.4575	0.003863767
4930	-64.36863	-68.91844	4.549805	0.003523088
4940	-65.2733	-69.65254	4.379242	0.004178286
4950	-64.6675	-69.10277	4.435266	0.003950639
4960	-64.39998	-68.87885	4.47887	0.003782076
4970	-64.33204	-68.83496	4.502917	0.003692214
4980	-64.31908	-68.83748	4.518395	0.003635505
4990	-64.63332	-69.07285	4.439528	0.003933835
5000	-64.39677	-68.95433	4.557555	0.00349589
5010	-64.43964	-69.00662	4.566983	0.003463087
5020	-64.78233	-69.39479	4.612461	0.003309121
5030	-65.18474	-69.57077	4.386026	0.004150037
5040	-64.53529	-68.9885	4.453204	0.003880402
5050	-65.83054	-70.17261	4.342077	0.004336493
5060	-65.70254	-70.05248	4.349944	0.004302512
5070	-64.91914	-69.54429	4.625158	0.003267368
5080	-64.40372	-68.88167	4.477951	0.003785554
5090	-64.4664	-69.03841	4.57201	0.003445721
5100	-64.38858	-68.8704	4.481813	0.003770962
5110	-64.696	-69.12786	4.431866	0.003964092
5120	-64.445	-69.01303	4.568033	0.003459453
5130	-64.88529	-69.29718	4.411884	0.0040441
5140	-66.25462	-70.57264	4.318028	0.004442044
5150	-64.41225	-68.97345	4.561207	0.003483147
5160	-64.33127	-68.86553	4.534259	0.003578285
5170	-64.31976	-68.83495	4.515189	0.003647178
5180	-64.68961	-69.12223	4.432617	0.003961118
5190	-65.32933	-69.70444	4.375104	0.004195611
5200	-64.65273	-69.25122	4.598485	0.003355691
5210	-64.98373	-69.61436	4.630629	0.003249541
5220	-64.33835	-68.87655	4.538201	0.003564208
5230	-64.41403	-68.97564	4.561608	0.00348175
5240	-64.31933	-68.84044	4.521111	0.003625644
5250	-66.15378	-70.47728	4.323502	0.004417795
5260	-64.3752	-68.86079	4.485591	0.003756743
5270	-64.48919	-69.06513	4.575935	0.003432221
5280	-65.56147	-70.23209	4.670629	0.003122125
5290	-64.69804	-69.12966	4.431627	0.003965038
5300	-64.50612	-68.96396	4.457841	0.003862453
5310	-65.58659	-69.94396	4.357372	0.004270672
5320	-64.57498	-69.02234	4.447363	0.003903135
5330	-65.79864	-70.14264	4.344007	0.00432813
5340	-66.91746	-71.20239	4.284924	0.004591554
5350	-64.38423	-68.86723	4.482998	0.003766495
5360	-64.40012	-68.87895	4.478837	0.003782202
5370	-64.36478	-68.85363	4.488855	0.003744498
